snapped_at,price,market_cap,total_volume
2021-01-27 00:00:00 UTC,6.93612479501509,161821128.15446663,13259944.12607942
2021-01-28 00:00:00 UTC,6.93612479501509,161821128.15446663,13259944.12607942
2021-01-29 00:00:00 UTC,7.153618419151332,166808753.28447136,6315208.61828203
2021-01-30 00:00:00 UTC,6.398993964937578,148769402.22470903,3044608.2912925812
2021-01-31 00:00:00 UTC,9.030796720066757,208306744.04158643,6735979.189734877
2021-02-01 00:00:00 UTC,9.772269193397891,227287820.59187925,14277052.229730578
2021-02-02 00:00:00 UTC,9.790270095239077,228290614.99311286,10146514.023916598
2021-02-03 00:00:00 UTC,9.359083610827653,218085517.20182166,74748951.28395648
2021-02-04 00:00:00 UTC,8.833174488815708,205821816.4302438,19430289.516214117
2021-02-05 00:00:00 UTC,8.681318886689777,202428251.46136874,19671564.387303215
2021-02-06 00:00:00 UTC,10.742533722801777,246877323.79550532,45879552.3494377
2021-02-07 00:00:00 UTC,10.440390528517089,245763871.16702643,21360162.081295073
2021-02-08 00:00:00 UTC,10.062969946465362,234270346.70078084,11061470.174038319
2021-02-09 00:00:00 UTC,10.097994714493625,234684065.10236242,15834943.855223749
2021-02-10 00:00:00 UTC,11.355973831700217,264233719.03605577,23436130.65180601
2021-02-11 00:00:00 UTC,11.39188204138629,265127366.7523277,18944202.32577863
2021-02-12 00:00:00 UTC,12.580736748869414,293143772.1468796,14573356.9010343
2021-02-13 00:00:00 UTC,14.622234812309783,338777772.4516182,42000951.27541586
2021-02-14 00:00:00 UTC,14.759596564504086,344300983.88499355,19009371.9605385
2021-02-15 00:00:00 UTC,17.688056048221693,410855342.5924533,62318038.167866156
2021-02-16 00:00:00 UTC,19.0297054280359,442165484.04240435,73029461.72151577
2021-02-17 00:00:00 UTC,19.19092779505469,448812672.6482579,35291941.46625601
2021-02-18 00:00:00 UTC,17.211971183109693,400344379.9519424,27801219.92826077
2021-02-19 00:00:00 UTC,19.14688002618189,446757992.8692392,29894768.96972112
2021-02-20 00:00:00 UTC,18.494287676531254,425916756.21663874,12236147.582465367
2021-02-21 00:00:00 UTC,18.85245384344437,435758419.25649875,22575776.757529512
2021-02-22 00:00:00 UTC,21.970030316310876,515030982.03428566,89081697.84094256
2021-02-23 00:00:00 UTC,22.695696795793594,528832476.43018,65579521.723794825
2021-02-24 00:00:00 UTC,21.447706539177315,497100734.8779576,79827626.65293421
2021-02-25 00:00:00 UTC,20.977862026769248,486013561.68696153,64026602.00786213
2021-02-26 00:00:00 UTC,20.26671664116678,474667407.1071804,44240669.38690433
2021-02-27 00:00:00 UTC,19.938707992830444,464591874.81835806,47461754.34881189
2021-02-28 00:00:00 UTC,20.744387364391766,483934753.69582397,20712577.09091288
2021-03-01 00:00:00 UTC,20.772330791557703,485418039.07318527,66238121.48811994
2021-03-02 00:00:00 UTC,29.254330129946027,682171651.0340519,126537556.1592243
